,SIM_AV,SIM_DEC,SIM_DLMU,SIM_EXPOSURE_g,SIM_EXPOSURE_i,SIM_EXPOSURE_r,SIM_HOSTLIB_GALID,SIM_LENSDMU,SIM_LIBID,SIM_MAGSMEAR_COH,SIM_MODEL_INDEX,SIM_MODEL_NAME,SIM_MWEBV,SIM_NGEN_LIBID,SIM_NOBS_UNDEFINED,SIM_PEAKMAG_g,SIM_PEAKMAG_i,SIM_PEAKMAG_r,SIM_PEAKMJD,SIM_RA,SIM_REDSHIFT_CMB,SIM_REDSHIFT_FLAG,SIM_REDSHIFT_HELIO,SIM_REDSHIFT_HOST,SIM_RV,SIM_SEARCHEFF_MASK,SIM_SUBSAMPLE_INDEX,SIM_TEMPLATE_INDEX,SIM_TYPE_INDEX,SIM_TYPE_NAME,SIM_VPEC,delta_t_g,delta_t_i,delta_t_r,fluxcal_g,fluxcal_i,fluxcal_r,fluxcalerr_g,fluxcalerr_i,fluxcalerr_r,host_photoz,host_specz,libid,mag_g,mag_i,mag_r,magerr_g,magerr_i,magerr_r,magobs_g,magobs_i,magobs_r,median_delta_t_g,median_delta_t_i,median_delta_t_r,mjd_g,mjd_i,mjd_r,photflag_g,photflag_i,photflag_r,photprob_g,photprob_i,photprob_r,pkmag_g,pkmag_i,pkmag_r,pkmjd,psf_sig1_g,psf_sig1_i,psf_sig1_r,sky_sig_g,sky_sig_i,sky_sig_r,snid,snr_g,snr_i,snr_r,z,zeropt_g,zeropt_i,zeropt_r,offset,logprob,true_label,skymap_filename,area_fifty,area_ninety,costheta,mej
425,-9,8.698559761,36.92066956,1,1,1,-9,0,7521,0,7,SIMSED.BULLA-BNS-M2-2COMP       ,0.067175925,1,0,99,-9,99,58364.40625,346.8492126,0.054221958,1,0.055907492,0.055907492,-9,3,-9,516,0,UNKNOWN ,109.6040955,"[3.0495299999965937, 0.9477499999993597, 2.0301499999986845, 2.939670000007027, 3.0638899999976275, 3.0110700000004726, 1.9151599999968312, 1.0091499999980442, 0.007860000005166512]",[],"[0.9971599999989849, 1.959210000000894, 0.02965000000403961, 1.9679099999993923, 1.0030699999988428, 1.011819999999716, 0.9901600000011967, 1.0060099999973318, 2.9764999999970314, 3.024330000000191, 2.977580000006128]",[338.35446],[],[764.9354],[42.98902],[],[73.302956],-9,-9,7521,[21.17657],[],[20.290937],[0.13797979],[],[0.10407023],2.03015,,1.01182,2.03015,,1.01182,[58365.31027],[],[58365.35344],[4096],[],[6144],[],[],[],99,-9,99,58364.40625,[],[],[],[],[],[],407522,[0.12705322],[],[0.09582894],0.055907492,[],[],[],0.702071642,2.672354126,1,/projects/caps/uiucsn/elcid/sssundar/bulla-lightcurves-ztf-simlib-with-host-ext/425.fits,3.676373219,14.55985091,1,0.039999999
426,-9,60.15110016,35.47389221,1,1,1,-9,0,7684,0,7,SIMSED.BULLA-BNS-M2-2COMP       ,0.018270696,1,0,99,-9,99,58490.83203,215.1643982,0.028452832,1,0.027392084,0.027392084,-9,3,-9,402,0,UNKNOWN ,-223.9694519,"[0.000919999998586718, 3.0240800000028685, 0.017309999995632097, 7.942320000001928, 3.0004699999990407, 0.016470000002300367, 3.0560699999987264]",[],"[10.984270000000834, 0.000919999998586718, 3.017169999999169, 0.0014400000000023283, 2.9324199999973644, 0.01840000000083819]",[766.9976],[],[1185.1492],[81.680305],[],[98.66408],-9,-9,7684,[20.288015],[],[19.815567],[0.11565199],[],[0.09040987],3.00047,,1.47541,3.00047,,1.47541,[58491.49084],[],[58491.55391],[4096],[],[6144],[],[],[],99,-9,99,58490.83203,[],[],[],[],[],[],407685,[0.10649356],[],[0.08325034],0.027392084,[],[],[],0.663194383,3.000082766,1,/projects/caps/uiucsn/elcid/sssundar/bulla-lightcurves-ztf-simlib-with-host-ext/426.fits,0.336210643,1.161041598,0.800000012,0.01
427,-9,69.88417053,34.06115341,1,1,1,-9,0,7874,0,7,SIMSED.BULLA-BNS-M2-2COMP       ,0.013187938,1,0,99,-9,99,58749.77344,97.96266174,0.01497315,1,0.015465884,0.015465884,-9,3,-9,412,0,UNKNOWN ,146.7446442,"[5.9993499999982305, 2.9810100000031525, 4.0161799999987124, 2.9884899999960908]",[],"[6.028010000001814, 3.0004100000005565, 3.979989999999816]",[4284.4478],[],[7470.5977],[93.97518],[],[124.050285],-9,-9,7874,[18.420263],[],[17.816612],[0.02382035],[],[0.01803318],3.502335,,3.97999,3.502335,,3.97999,[58750.44913],[],[58750.48336],[4096],[],[6144],[],[],[],99,-9,99,58749.77344,[],[],[],[],[],[],407875,[0.02193402],[],[0.01660514],0.015465884,[],[],[],0.080629895,4.099210884,1,/projects/caps/uiucsn/elcid/sssundar/bulla-lightcurves-ztf-simlib-with-host-ext/427.fits,0.164630931,0.555278685,0.800000012,0.029999999
428,-9,7.769050121,34.02240372,1,1,1,-9,0,9509,0,7,SIMSED.BULLA-BNS-M2-2COMP       ,0.095765874,1,0,99,-9,99,58370.45703,343.6865845,0.014711969,1,0.015154429,0.015154429,-9,3,-9,319,0,UNKNOWN ,-237.7612457,"[2.9378499999947962, 3.065710000002582, 3.0110700000004726, 2.9224899999971967, 2.9070100000026287, 3.0226699999984703]",[],"[3.0056799999947543, 2.9783300000053714, 3.023410000001604, 2.977579999998852, 2.984889999999723]",[1114.2485],[],[1997.1088],[61.248333],[],[71.82356],-9,-9,9509,[19.882545],[],[19.248997],[0.05969556],[],[0.03905665],2.97446,,2.98489,2.97446,,2.98489,[58371.33815],[],[58371.31229],[6144],[],[4096],[],[],[],99,-9,99,58370.45703,[],[],[],[],[],[],409510,[0.05496829],[],[0.03596377],0.015154429,[],[],[],0.297759925,3.482115896,1,/projects/caps/uiucsn/elcid/sssundar/bulla-lightcurves-ztf-simlib-with-host-ext/428.fits,0.522487335,1.751481538,0.600000024,0.039999999
429,-9,22.15452957,36.5932045,1,1,1,-9,0,201,0,7,SIMSED.BULLA-BNS-M2-2COMP       ,0.034940109,1,0,99,-9,99,58315.28516,343.4786377,0.0468839,1,0.048442498,0.048442498,-9,3,-9,467,0,UNKNOWN ,90.38542938,"[0.0004599999956553802, 3.000350000002072, 0.0004599999956553802, 3.00289000000339, 0.03839999999763677, 2.9623700000011013, 0.017820000000938307, 1.0000999999974738, 7.88923000000068, 0.0013800000015180558]",[],"[2.986140000000887, 0.001830000001064036, 2.9700400000001537, 0.0009300000019720756, 3.05106999999407, 0.9212499999994179, 2.02277000000322, 0.0014099999971222132, 5.95411000000604]",[323.36258],[],[778.54694],[42.83429],[],[50.62345],-9,-9,201,[21.225777],[],[20.271788],[0.1438572],[],[0.07061496],0.51925,,2.02277,0.51925,,2.02277,[58316.41521],[],[58316.45712],[4096],[],[6144],[],[],[],99,-9,99,58315.28516,[],[],[],[],[],[],410202,[0.1324652],[],[0.06502299],0.048442498,[],[],[],0.251689099,3.114311665,1,/projects/caps/uiucsn/elcid/sssundar/bulla-lightcurves-ztf-simlib-with-host-ext/429.fits,1.555805186,5.26939333,0.899999976,0.039999999
430,-9,22.20779037,35.07169724,1,1,1,-9,0,329,0,7,SIMSED.BULLA-BNS-M2-2COMP       ,0.040412337,1,0,99,-9,99,58604.53516,239.0531006,0.023685766,1,0.024381507,0.024381507,-9,3,-9,513,0,UNKNOWN ,296.9938354,[7.982609999999113],[],"[0.8865399999995134, 2.074719999996887, 3.9968100000041886, 4.023730000000796, 0.9098599999997532, 0.9573499999969499]",[],[],[2707.9495 1389.6321],[],[],[75.547745 76.08956 ],-9,-9,329,[],[],[18.9184  19.64275],[],[],[0.03029778 0.05946413],7.98261,,1.516035,7.98261,,1.516035,[],[],[58605.37752 58606.26406],[],[],[4096 6144],[],[],[],99,-9,99,58604.53516,[],[],[],[],[],[],410330,[],[],[0.02789851 0.05475518],0.024381507,[],[],[],0.647365257,3.248577909,1,/projects/caps/uiucsn/elcid/sssundar/bulla-lightcurves-ztf-simlib-with-host-ext/430.fits,0.578032144,1.948023993,1,0.029999999
431,-9,5.052249908,34.9276886,1,1,1,-9,0,655,0,7,SIMSED.BULLA-BNS-M2-2COMP       ,0.087016746,1,0,99,-9,99,58693.80859,310.4935608,0.02220778,1,0.02210615,0.02210615,-9,3,-9,218,0,UNKNOWN ,-323.718689,[14.915280000001076],[],"[3.041559999997844, 6.007630000000063, 2.9882199999992736]",[465.475],[],[867.8095],[51.872936],[],[62.424072],-9,-9,655,[20.83026],[],[20.153938],[0.12102477],[],[0.07811915],14.91528,,3.04156,14.91528,,3.04156,[58694.33203],[],[58694.35368],[4096],[],[6144],[],[],[],99,-9,99,58693.80859,[],[],[],[],[],[],410656,[0.11144086],[],[0.07193292],0.02210615,[],[],[],1.084741079,2.633168893,1,/projects/caps/uiucsn/elcid/sssundar/bulla-lightcurves-ztf-simlib-with-host-ext/431.fits,2.382189111,8.325507664,0.400000006,0.039999999
432,-9,31.50662994,36.28677368,1,1,1,-9,0,1314,0,7,SIMSED.BULLA-BNS-M2-2COMP       ,0.047921132,1,0,99,-9,99,58335.64063,257.5958252,0.040995091,1,0.039821751,0.039821751,-9,3,-9,511,0,UNKNOWN ,-359.3383179,"[6.939690000006522, 2.9775899999949615, 3.002780000002531, 2.9883499999996275]",[],"[3.9651900000026217, 2.978499999997439, 3.018309999999474, 3.088370000004943, 2.9776500000007218]",[588.44666],[],[1039.195],[56.336777],[],[57.965683],-9,-9,1314,[20.575733],[],[19.958258],[0.10397159],[],[0.06057644],2.995565,,3.01831,2.995565,,3.01831,[58336.24249],[],[58336.21868],[6144],[],[4096],[],[],[],99,-9,99,58335.64063,[],[],[],[],[],[],411315,[0.09573812],[],[0.05577941],0.039821751,[],[],[],1.150988677,2.820880591,1,/projects/caps/uiucsn/elcid/sssundar/bulla-lightcurves-ztf-simlib-with-host-ext/432.fits,1.355349025,5.019318934,1,0.029999999
433,-9,67.9747467,33.83571625,1,1,1,-9,0,2195,0,7,SIMSED.BULLA-BNS-M2-2COMP       ,0.075403422,1,0,99,-9,99,58274.35938,247.0736847,0.013520421,1,0.013344242,0.013344242,-9,3,-9,462,0,UNKNOWN ,-67.60985565,"[2.911339999998745, 2.9988000000012107, 5.96078000000125, 2.9947899999970105]",[],"[2.9392399999996996, 3.0350000000034925, 2.95908000000054, 2.963659999993979]",[],[],[9155.793   632.5718],[],[],[120.58742  78.0655 ],-9,-9,2195,[],[],[17.59576  20.497227],[],[],[0.01430329 0.13402294],2.996795,,2.96137,2.996795,,2.96137,[],[],[58275.36939 58278.30863],[],[],[4096 6144],[],[],[],99,-9,99,58274.35938,[],[],[],[],[],[],412196,[],[],[0.01317061 0.12340971],0.013344242,[],[],[],0.10123673,4.406766994,1,/projects/caps/uiucsn/elcid/sssundar/bulla-lightcurves-ztf-simlib-with-host-ext/433.fits,0.059965147,0.202071882,0.899999976,0.029999999
434,-9,-6.379920006,33.57471085,1,1,1,-9,0,2212,0,7,SIMSED.BULLA-BNS-M2-2COMP       ,0.020602072,1,0,99,-9,99,58274.94531,240.125824,0.012000421,1,0.012045556,0.012045556,-9,3,-9,152,0,UNKNOWN ,130.0506439,"[7.039980000001378, 2.940810000000056, 2.976009999998496, 3.0023500000024796]",[],"[2.980039999994915, 4.043830000002345, 2.9573099999979604, 2.9750800000038]",[689.0227],[],[1468.0945],[54.1751],[],[74.73962],-9,-9,2212,[20.404415],[],[19.583115],[0.08538783],[],[0.05528747],2.98918,,2.97756,2.98918,,2.97756,[58276.25137],[],[58276.29265],[4096],[],[6144],[],[],[],99,-9,99,58274.94531,[],[],[],[],[],[],412213,[0.078626],[],[0.05090927],0.012045556,[],[],[],2.494360727,2.295409757,1,/projects/caps/uiucsn/elcid/sssundar/bulla-lightcurves-ztf-simlib-with-host-ext/434.fits,1.78485549,8.17617875,0.300000012,0.01
435,-9,38.23546982,32.89258194,1,1,1,-9,0,2371,0,7,SIMSED.BULLA-BNS-M2-2COMP       ,0.110066943,1,0,99,-9,99,58444.60547,147.3040009,0.008807203,1,0.006511384,0.006511384,-9,3,-9,216,0,UNKNOWN ,-440.4670105,[],[],"[0.06811000000016065, 2.992149999998219, 4.9483800000016345, 0.05477000000246335]",[],[],[3622.0208 3558.7842],[],[],[149.2235  245.07748],-9,-9,2371,[],[],[18.602623 18.621746],[],[],[0.04474207 0.07478794],,,1.53013,,,1.53013,[],[],[58447.46664 58447.53475],[],[],[4096 6144],[],[],[],99,-9,99,58444.60547,[],[],[],[],[],[],412372,[],[],[0.04119896 0.06886551],0.006511384,[],[],[],0.38240607,2.989342412,1,/projects/caps/uiucsn/elcid/sssundar/bulla-lightcurves-ztf-simlib-with-host-ext/435.fits,0.166154515,0.603399168,0.400000006,0.039999999
436,-9,56.84830856,36.05363846,1,1,1,-9,0,5215,0,7,SIMSED.BULLA-BNS-M2-2COMP       ,0.008269417,1,0,99,-9,99,58491.72656,51.86711121,0.03682889,1,0.038623169,0.038623169,-9,3,-9,512,0,UNKNOWN ,392.9272766,"[2.009750000004715, 7.983840000000782, 1.9857799999954295, 1.9977300000027753, 2.0024800000028335, 0.9961899999980233]",[],"[9.998359999997774, 4.0871100000003935, 0.9914100000023609, 2.904470000001311]",[322.75864],[],[971.2383],[64.49375],[],[78.8284],-9,-9,5215,[21.227806],[],[20.031685],[0.21700491],[],[0.08814277],2.000105,,3.49579,2.000105,,3.49579,[58493.20144],[],[58493.14037],[6144],[],[4096],[],[],[],99,-9,99,58491.72656,[],[],[],[],[],[],415216,[0.19982037],[],[0.08116278],0.038623169,[],[],[],0.181764926,3.632029153,1,/projects/caps/uiucsn/elcid/sssundar/bulla-lightcurves-ztf-simlib-with-host-ext/436.fits,0.485308673,1.623024625,1,0.029999999
437,-9,-9.507080078,36.00422668,1,1,1,-9,0,5645,0,7,SIMSED.BULLA-BNS-M2-2COMP       ,0.007742184,1,0,99,-9,99,58287.87109,291.2053528,0.036070395,1,0.036423806,0.036423806,-9,3,-9,471,0,UNKNOWN ,-88.85089111,"[3.0187900000019, 0.0004800000024260953, 2.9408999999941443, 1.0017800000059651, 5.953109999994922, 0.004189999999653082, 3.105970000004163, 0.0009099999952013604, 2.9116400000057183, 0.000919999998586718]",[],"[0.0004600000029313378, 2.87271999999939, 0.0004599999956553802, 3.0003300000025774, 7.0419699999984005, 0.00046999999904073775, 3.0013900000049034, 0.021130000000994187, 2.977119999995921]",[1144.2123],[],[1941.8002 1832.9797],[138.0617],[],[227.40945 177.32271],-9,-9,5645,[19.853733],[],[19.279488 19.342106],[0.13103776],[],[0.12718439 0.10505978],1.95671,,2.87272,1.95671,,2.87272,[58288.39681],[],[58288.43997 58288.44043],[4096],[],[6144 4096],[],[],[],99,-9,99,58287.87109,[],[],[],[],[],[],415646,[0.12066092],[],[0.1171127  0.09674013],0.036423806,[],[],[],2.807079734,1.884910284,1,/projects/caps/uiucsn/elcid/sssundar/bulla-lightcurves-ztf-simlib-with-host-ext/437.fits,18.45065365,54.65763968,0.899999976,0.050000001
438,-9,13.20221996,34.72850418,1,1,1,-9,0,6100,0,7,SIMSED.BULLA-BNS-M2-2COMP       ,0.016892219,1,0,99,-9,99,58335.32422,249.8566437,0.020260809,1,0.02167768,0.02167768,-9,3,-9,416,0,UNKNOWN ,456.4775696,"[7.916129999997793, 3.0359299999981886]",[],"[7.97501000000193, 5.95962999999756]",[3038.146],[],[5594.821],[81.23228],[],[103.82272],-9,-9,6100,[18.79348],[],[18.130535],[0.02903687],[],[0.02015283],5.47603,,6.96732,5.47603,,6.96732,[58336.24622],[],[58336.21134],[6144],[],[4096],[],[],[],99,-9,99,58335.32422,[],[],[],[],[],[],416101,[0.02673745],[],[0.01855693],0.02167768,[],[],[],0.346994407,3.015527432,1,/projects/caps/uiucsn/elcid/sssundar/bulla-lightcurves-ztf-simlib-with-host-ext/438.fits,0.895079126,3.041692343,0.800000012,0.039999999
439,-9,-2.526730061,36.34105682,1,1,1,-9,0,9538,0,7,SIMSED.BULLA-BNS-M2-2COMP       ,0.03407779,1,0,99,-9,99,58256.61719,238.056778,0.041952565,1,0.042040765,0.042040765,-9,3,-9,467,0,UNKNOWN ,152.19104,"[6.998650000001362, 2.97896000000037, 3.0147500000020955]",[],"[0.04176999999617692, 4.93811000000278, 9.998019999999087]",[],[],[1127.4624 1170.9371],[],[],[89.90581 73.33198],-9,-9,9538,[],[],[19.869745 19.828667],[],[],[0.08659951 0.06801264],3.01475,,4.93811,3.01475,,4.93811,[],[],[58257.31455 58257.35632],[],[],[4096 6144],[],[],[],99,-9,99,58256.61719,[],[],[],[],[],[],419539,[],[],[0.07974173 0.06262674],0.042040765,[],[],[],0.216068106,2.587989118,1,/projects/caps/uiucsn/elcid/sssundar/bulla-lightcurves-ztf-simlib-with-host-ext/439.fits,5.993107121,21.24671254,0.899999976,0.039999999
440,-9,47.6778183,36.06657028,1,1,1,-9,0,378,0,7,SIMSED.BULLA-BNS-M2-2COMP       ,0.106455527,1,0,99,-9,99,58353.07031,52.18722916,0.037154146,1,0.035757959,0.035757959,-9,3,-9,468,0,UNKNOWN ,-543.8157349,"[1.001459999999497, 1.9648999999990338, 1.0304900000046473, 1.0083699999959208, 0.9727200000052107, 1.0017399999996996, 0.9870999999984633, 1.0586800000019139, 0.9723099999973783, 0.9419199999974808, 1.070370000001276]",[],"[0.06670999999914784, 0.9778000000005704, 0.011789999996835832, 1.021760000003269, 0.9185900000011316, 0.060969999998633284, 0.9447399999990012, 0.0785699999978533, 0.9656099999992875, 2.021950000002107, 0.9945799999986775, 1.9968900000021677, 0.9974500000025728, 0.9997499999954016, 1.0005100000053062, 1.0056799999947543, 0.961459999998624, 0.9755600000062259, 1.05504999999539, 0.9735300000029383]",[],[],[484.2102 766.9352 785.2107],[],[],[47.74841  77.77131  61.196445],-9,-9,378,[],[],[20.787415 20.288103 20.262535],[],[],[0.10709144 0.11012617 0.08463886],1.00174,,0.97668,1.00174,,0.97668,[],[],[58353.49536 58354.47316 58354.48495],[],[],[4096 6144 4096],[],[],[],99,-9,99,58353.07031,[],[],[],[],[],[],420379,[],[],[0.09861091 0.10140532 0.07793634],0.035757959,[],[],[],0.263978507,3.289762062,1,/projects/caps/uiucsn/elcid/sssundar/bulla-lightcurves-ztf-simlib-with-host-ext/440.fits,0.781585491,2.666108539,0.899999976,0.039999999
441,-9,10.84788036,36.00925064,1,1,1,-9,0,1349,0,7,SIMSED.BULLA-BNS-M2-2COMP       ,0.082456782,1,0,99,-9,99,58463.66016,155.1040649,0.036193825,1,0.03531063,0.03531063,-9,3,-9,416,0,UNKNOWN ,87.6785202,[16.000959999997576],[],"[6.981030000002647, 2.9531799999967916, 1.9822800000038114, 5.015209999997751]",[628.88214],[],[1360.3647],[49.412914],[],[63.184166],-9,-9,1349,[20.503578],[],[19.665861],[0.08532986],[],[0.05044089],16.00096,,3.984195,16.00096,,3.984195,[58464.49818],[],[58464.54221],[4096],[],[6144],[],[],[],99,-9,99,58463.66016,[],[],[],[],[],[],421350,[0.07857262],[],[0.04644649],0.03531063,[],[],[],0.896506459,2.88719058,1,/projects/caps/uiucsn/elcid/sssundar/bulla-lightcurves-ztf-simlib-with-host-ext/441.fits,2.265235785,7.64723013,0.800000012,0.039999999
442,-9,62.22613144,35.88633728,1,1,1,-9,0,2426,0,7,SIMSED.BULLA-BNS-M2-2COMP       ,0.293471992,1,0,99,-9,99,58774.39844,304.6845093,0.034257442,1,0.033176448,0.033176448,-9,3,-9,516,0,UNKNOWN ,-477.231842,"[0.0014400000000023283, 0.9977899999939837, 0.0014500000033876859, 0.9990000000034343, 0.0014499999961117283, 0.9987499999988358, 0.0014500000033876859, 0.9983799999972689, 0.0014400000000023283, 1.9980500000019674, 0.0014400000000023283, 0.9973800000007031, 0.0014400000000023283, 0.9996199999950477, 0.0014400000000023283, 1.9982700000036857, 0.0014400000000023283, 1.005010000000766, 0.0014499999961117283, 0.9908600000053411, 0.0014400000000023283, 0.9994899999946938, 0.0014500000033876859, 0.9989700000005541, 0.0014400000000023283, 1.0898200000010547, 0.8756699999939883, 0.03168000000005122, 1.0302500000034343, 0.9340700000029756, 0.01848999999492662]",[],"[0.0014500000033876859, 0.9977699999944889, 0.0014500000033876859, 0.9989599999971688, 0.0014400000000023283, 0.9987700000056066, 0.0014299999966169707, 0.9983599999977741, 0.0014400000000023283, 1.9984700000059092, 0.0014400000000023283, 0.9976599999936298, 0.0014500000033876859, 0.999759999998787, 0.0014400000000023283, 1.998200000001816, 0.0014499999961117283, 1.005460000000312, 0.0014500000033876859, 0.99091000000044, 0.0014499999961117283, 0.9994399999995949, 0.0014500000033876859, 0.9989300000015646, 0.0014499999961117283, 0.9801300000035553, 0.0023499999952036887, 0.9921100000065053, 0.0004899999985354953, 1.0072999999974854, 0.0253999999986263, 0.012940000000526197, 0.9271599999992759, 0.017859999999927823, 0.9999500000049011]",[417.9298],[],[1239.4572 1072.4623  596.0289],[61.9341],[],[71.414696 80.33942  73.485405],-9,-9,2426,[20.947243],[],[19.766922 19.924046 20.561832],[0.16093715],[],[0.06257284 0.08135355 0.13389477],0.87567,,0.0254,0.87567,,0.0254,[58775.17414],[],[58775.14477 58775.14622 58776.14399],[6144],[],[4096 4096 4096],[],[],[],99,-9,99,58774.39844,[],[],[],[],[],[],422427,[0.14819258],[],[0.05761772 0.07491118 0.12329169],0.033176448,[],[],[],0.588844548,2.790468707,1,/projects/caps/uiucsn/elcid/sssundar/bulla-lightcurves-ztf-simlib-with-host-ext/442.fits,0.4375307,1.520703129,1,0.039999999
443,-9,59.86751938,35.68226242,1,1,1,-9,0,3342,0,7,SIMSED.BULLA-BNS-M2-2COMP       ,0.100497223,1,0,99,-9,99,58762.65234,72.5661087,0.031216562,1,0.031397849,0.031397849,-9,3,-9,419,0,UNKNOWN ,-3.270116329,"[3.002760000003036, 3.0618000000031316, 2.8080399999962538, 3.0867100000032224, 2.8974899999957415, 3.1053200000023935]",[],"[5.966100000005099, 3.0745399999941583, 2.836990000003425, 3.019189999999071]",[384.23566],[],[631.4101],[54.13352],[],[70.78282],-9,-9,3342,[21.038506],[],[20.499222],[0.15300246],[],[0.1217436],3.03228,,3.046865,3.03228,,3.046865,[58763.448],[],[58763.48987],[4096],[],[6144],[],[],[],99,-9,99,58762.65234,[],[],[],[],[],[],423343,[0.14088625],[],[0.11210277],0.031397849,[],[],[],0.190627233,3.504482709,1,/projects/caps/uiucsn/elcid/sssundar/bulla-lightcurves-ztf-simlib-with-host-ext/443.fits,0.631274204,2.115366061,0.800000012,0.039999999
444,-9,42.05587006,34.25063324,1,1,1,-9,0,4920,0,7,SIMSED.BULLA-BNS-M2-2COMP       ,0.019729726,1,0,99,-9,99,58376.98047,329.5606689,0.016331341,1,0.016217045,0.016217045,-9,3,-9,416,0,UNKNOWN ,-322.0280762,"[3.9320999999981723, 3.0986200000043027]",[],"[4.025459999997111, 2.9176300000035553, 2.987489999999525]",[3105.741],[],[7387.161],[71.614006],[],[107.36608],-9,-9,4920,[18.769587],[],[17.828806],[0.02504163],[],[0.01578408],3.51536,,2.98749,3.51536,,2.98749,[58378.31065],[],[58378.28087],[6144],[],[4096],[],[],[],99,-9,99,58376.98047,[],[],[],[],[],[],424921,[0.02305859],[],[0.01453415],0.016217045,[],[],[],0.164874002,3.95339939,1,/projects/caps/uiucsn/elcid/sssundar/bulla-lightcurves-ztf-simlib-with-host-ext/444.fits,0.195101637,0.654943338,0.800000012,0.039999999
445,-9,56.84830856,35.05295181,1,1,1,-9,0,5215,0,7,SIMSED.BULLA-BNS-M2-2COMP       ,0.009358499,1,0,99,-9,99,58395.57031,51.86711121,0.023483491,1,0.024275871,0.024275871,-9,3,-9,161,0,UNKNOWN ,106.3422546,[],[],[],[366.11636],[],[],[53.973892],[],[],-9,-9,5215,[21.090952],[],[],[0.16010113],[],[],,,,,,,[58397.36821],[],[],[4096],[],[],[],[],[],99,-9,99,58395.57031,[],[],[],[],[],[],425216,[0.14742278],[],[],0.024275871,[],[],[],0.20980062,3.163145448,1,/projects/caps/uiucsn/elcid/sssundar/bulla-lightcurves-ztf-simlib-with-host-ext/445.fits,1.523317261,5.95187433,0.300000012,0.029999999
446,-9,24.26420975,35.25004959,1,1,1,-9,0,5261,0,7,SIMSED.BULLA-BNS-M2-2COMP       ,0.05078347,1,0,99,-9,99,58289.5625,306.7532043,0.025668824,1,0.026621871,0.026621871,-9,3,-9,457,0,UNKNOWN ,8.338087082,"[2.9996099999989383, 3.026110000006156, 4.000259999993432, 2.98862999999983]",[],"[5.956680000002962, 4.041769999996177, 2.9943700000003446]",[1038.1547],[],[2043.9229],[63.4159],[],[72.38828],-9,-9,5261,[19.959345],[],[19.223839],[0.06633855],[],[0.03846215],3.01286,,4.04177,3.01286,,4.04177,[58290.42015],[],[58290.37904],[6144],[],[4096],[],[],[],99,-9,99,58289.5625,[],[],[],[],[],[],425262,[0.06108522],[],[0.03541635],0.026621871,[],[],[],1.16356746,2.702252833,1,/projects/caps/uiucsn/elcid/sssundar/bulla-lightcurves-ztf-simlib-with-host-ext/446.fits,1.221985623,4.647049664,0.899999976,0.02
447,-9,54.58924866,35.00684738,1,1,1,-9,0,6242,0,7,SIMSED.BULLA-BNS-M2-2COMP       ,0.304383665,1,0,99,-9,99,58639.92578,205.2541962,0.023049077,1,0.021555712,0.021555712,-9,3,-9,474,0,UNKNOWN ,-305.0166321,"[3.0131299999993644, 9.061470000000554, 3.9377499999973224]",[],"[2.9745400000028894, 2.979909999994561, 3.004380000005767]",[345.50662],[],[871.568],[41.486828],[],[44.400333],-9,-9,6242,[21.153858],[],[20.149246],[0.13040182],[],[0.05532415],3.93775,,2.97991,3.93775,,2.97991,[58641.1869],[],[58641.28714],[4096],[],[6144],[],[],[],99,-9,99,58639.92578,[],[],[],[],[],[],426243,[0.12007535],[],[0.05094305],0.021555712,[],[],[],0.111869271,3.975190772,1,/projects/caps/uiucsn/elcid/sssundar/bulla-lightcurves-ztf-simlib-with-host-ext/447.fits,0.211921465,0.723883131,0.899999976,0.050000001
448,-9,-17.37896919,33.70817184,1,1,1,-9,0,7248,0,7,SIMSED.BULLA-BNS-M2-2COMP       ,0.101748765,1,0,99,-9,99,58713.45703,304.2987976,0.01274665,1,0.013365949,0.013365949,-9,3,-9,307,0,UNKNOWN ,-56.77290344,[],[],[3.9841099999975995],[2754.8127],[],[5515.1694],[159.90591],[],[148.99767],-9,-9,7248,[18.899769],[],[18.146103],[0.06303798],[],[0.02933935],,,3.98411,,,3.98411,[58714.23102],[],[58714.34032],[4096],[],[6144],[],[],[],99,-9,99,58713.45703,[],[],[],[],[],[],427249,[0.05804602],[],[0.02701597],0.013365949,[],[],[],0.766732238,3.003488011,1,/projects/caps/uiucsn/elcid/sssundar/bulla-lightcurves-ztf-simlib-with-host-ext/448.fits,0.752488862,2.545669689,0.600000024,0.02
